金融機構,帳單類型,帳單金額,最低應繳金額,繳費截止日
中國信託,信用卡,496,496,2022/03/15
中國信託,信用卡,6963,1000,2022/04/15
中國信託,信用卡,11981,1200,2022/05/15
中國信託,信用卡,11708,1200,2022/06/15
中國信託,信用卡,18703,1900,2022/07/15
中國信託,信用卡,37845,3800,2022/08/15
中國信託,信用卡,10450,1100,2022/09/15
中國信託,信用卡,7522,1000,2022/10/15
中國信託,信用卡,16302,1700,2022/12/15
中國信託,信用卡,23697,2400,2023/01/15
中國信託,信用卡,8540,1000,2023/02/15
中國信託,信用卡,23769,2400,2023/03/15
中國信託,信用卡,21004,2200,2023/04/15
中國信託,信用卡,12771,1300,2023/05/15
中國信託,信用卡,19201,2000,2023/06/15
中國信託,信用卡,36109,3700,2023/07/15
中國信託,信用卡,26082,2700,2023/08/15
中國信託,信用卡,24583,2600,2023/09/15
中國信託,信用卡,41386,4200,2023/10/15
中國信託,信用卡,52736,5300,2023/11/15
中國信託,信用卡,28369,2900,2023/12/15
中國信託,信用卡,5544,1000,2024/01/15
中國信託,信用卡,36164,3700,2024/02/15
中國信託,信用卡,10078,1300,2024/03/15
中國信託,信用卡,11200,1200,2024/04/15
中國信託,信用卡,3978,1000,2024/05/15
中國信託,信用卡,18286,1900,2024/06/15
中國信託,信用卡,9956,1000,2024/07/15
台新銀行,信用卡,24600,2460,2024/07/22
中國信託,信用卡,17921,1900,2024/08/15
中國信託,信用卡,22696,2300,2024/09/15
中國信託,信用卡,77125,7800,2024/10/15
中國信託,信用卡,46831,4700,2024/11/15
台新銀行,信用卡,24600,2460,2024/08/22
中國信託,信用卡,48851,4900,2024/12/15
